Game,Episode(s) Missing,Part Missing,Challenger Offscreen Matches,Champion Offscreen Matches,Challenger Panelists Matched,Champion Panelists Matched,Challenger ID,Champion ID
389,"311, 312, 313",end,,,,,385,381
390,"311, 312, 313",beginning,2,,Brett and Charles,,387,386
403,"324, 325",end,,,,,400,395
404,"324, 325",beginning,4,1,"Jimmie, Brett, Charles, and Richard",Lynda,402,401
739,645,end,,,,,707,733
740,645,beginning,3,0,,,740,733
1022,910,end,,,,,1011,1010
1023,910,beginning,0,,,,1012,1011
1085,968,end,,,,,1074,1073
1086,968,beginning,5,0,,,1075,1074
1148,1024-1030,end,,,,,1135,1134
1149,1024-1030,beginning,2,,Richard and Fannie,,1137,1136
1154,1035,end,,,,,1142,1141
