Panelist ID,Panelist Name,Gender,Bio
1,Michael Landon,M,
2,Vicki Lawrence,F,
3,Jack Klugman,M,
4,Jo Ann Pflug,F,
5,Richard Dawson,M,
6,Anita Gillette,F,
7,Bob Barker,M,
8,Arlene Francis,F,
9,Michael Learned,F,
10,Richard Thomas,M,
11,Della Reese,F,
12,Bert Convy,M,
13,Jaye P. Morgan,F,
14,Charles Nelson Reilly,M,
15,Brett Somers,F,
16,Betty White,F,
17,Dick Gautier,M,
18,Barbara Stuart,F,
19,Jack Carter,M,
20,Shelley Winters,F,
21,Loretta Swit,F,
22,Mary Ann Mobley,F,
23,Kay Ballard,F,
24,Morey Amsterdam,M,
25,Carolyn Jones,F,
26,Lucie Arnaz,F,
27,Nanette Fabray,F,
28,Ruta Lee,F,
29,Stu Gilliam,M,
30,Stephanie Edwards,F,
31,Bobby Van,M,
32,Elaine Joyce,F,
33,McLean Stevenson,M,
34,Ann Elder,F,
35,Robert Culp,M,
36,Pat Carroll,F,
37,Nipsey Russell,M,
38,Pat Harrington,M,
39,Fannie Flagg,F,
40,Jim Backus,M,
41,Patti Deutsch,F,
42,Bill Cullen,M,
43,Cass Elliot,F,
44,Robert Vaughn,M,
45,Nancy Dussault,F,
46,Robert Q. Lewis,M,
47,Joyce Bulifant,F,
48,Bill Daily,M,
49,Judy Carne,F,
50,Beverly Garland,F,
51,Jack Cassidy,M,
52,June Lockhart,F,
53,Lee Meriwether,F,
54,Gail Fisher,F,
55,Larry Hovis,M,
56,Madlyn Rhue,F,
57,Greg Morris,M,
58,Juliet Mills,F,
59,Joe Flynn,M,
60,Linda Kaye Henning,F,
61,William Shatner,M,
62,Anne Meara,F,
63,Orson Bean,M,
64,Meredith MacRae,F,
65,Marcia Wallace,F,
66,Rip Taylor,M,
67,Peggy Cass,F,
68,Larry Blyden,M,
69,Kaye Stevens,F,
70,Steve Allen,M,
71,Jo Anne Worley,F,
72,Allen Ludden,M,
73,Chelsea Brown,F,
74,Rosey Grier,M,
75,Ron Masak,M,
76,Trish Stewart,F,
77,Abby Dalton,F,
78,Jackie Joseph,F,
79,Louisa Moritz,F,
80,Jack Narz,M,
81,Jimmie Walker,M,
82,Don Adams,M,
83,Mitzi McCall,F,
84,George Kirby,M,
85,Scoey Mitchell,M,
86,Joanie Sommers,F,
87,Anson Williams,M,
88,Alejandro Rey,M,
89,Joyce Brothers,F,
90,Donald Ross,M,
91,Charlie Brill,M,
92,Richard Long,M,
93,Robert Morse,M,
94,Adrienne Barbeau,F,
95,Penny Marshall,F,
96,Gary Burghoff,M,
97,Richard Deacon,M,
98,Gunilla Hutton,F,
99,Lynda Day George,F,
100,Arte Johnson,M,
101,Michele Lee,F,
102,Mark Goodson,M,
103,Michael Evans,M,
104,Gene Wood,M,
105,Amanda Blake,F,
